,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
64,3.445224952697754,0.05879017649972247,0.3729692459106445,0.010763927957998187,1.0,50,1,12,0.1,0.4,"{'subsample': 1.0, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 0.4}",0.6642939181070919,0.6865145370556932,0.690667246979046,0.6935087589116004,0.696353358867078,0.6862675639841018,0.011457901044099014,42
39,3.893293762207031,0.08724915508559068,0.6066760063171387,0.010734154116054736,1.0,100,10,12,0.05,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.6547017102452037,0.6914535857043296,0.6967923204694251,0.6914751559708435,0.6961691505939165,0.6861183845967437,0.01586894830710283,43
87,1.9309526920318603,0.031098022250956623,0.4925257682800293,0.010498283651781196,0.2,100,5,12,0.05,0.2,"{'subsample': 0.2, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 0.2}",0.6729151509927961,0.6804445393217124,0.685475372874487,0.6902384798479392,0.7011101984668336,0.6860367483007537,0.009472356702010281,44
79,1.4460947036743164,0.02328449239788472,0.32482237815856935,0.006965468799677286,0.2,50,10,16,0.05,0.8,"{'subsample': 0.2, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 16, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.6633719736228512,0.684978136053622,0.6919630635927235,0.6896274794084238,0.6995226635767411,0.6858926632508723,0.012203223690815538,45
47,4.981491661071777,0.10728304201703733,0.6245977401733398,0.01102481284292415,0.4,100,1,12,0.05,0.8,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.6680770800429916,0.6871435200696816,0.69246993315943,0.6875074289497869,0.6940527589572643,0.6858501442358309,0.009288764375682781,46
73,1.024562406539917,0.03149763113629786,0.2462942123413086,0.010868015026802132,0.2,50,5,8,0.05,0.8,"{'subsample': 0.2, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.6611079806686297,0.6837612152255944,0.6918787794032866,0.6906384216264349,0.6980541060430497,0.6850881005933991,0.012820635366274155,47
43,2.4421183109283446,0.032692694443036324,0.3846770763397217,0.01452674811190846,0.4,50,5,16,0.05,0.6,"{'subsample': 0.4, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 16, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.6645925189400966,0.6825940497873537,0.6882270410347445,0.6913942680358234,0.6973390774745567,0.684829391054515,0.011186256148074208,48
95,2.967794942855835,0.008309663387996961,0.6464225769042968,0.008963548844568636,0.6,100,10,16,0.1,0.2,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 16, 'learning_rate': 0.1, 'colsample_bytree': 0.2}",0.6713567519097063,0.6830540231544928,0.6881767136814828,0.6848008767473586,0.6966074443613615,0.6847991619708804,0.008180309153727786,49
74,1.0207669258117675,0.03623570635173859,0.18248467445373534,0.006037928815427988,1.0,20,10,12,0.05,0.6,"{'subsample': 1.0, 'n_estimators': 20, 'min_child_weight': 10, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.6571198267551233,0.6873307206569058,0.6896399171199763,0.6919594789746166,0.6975501646755293,0.6847200216364303,0.014211362998571366,50
51,0.7431015014648438,0.010555586403143637,0.1561279296875,0.009494518764295077,0.6,20,10,8,0.05,1.0,"{'subsample': 0.6, 'n_estimators': 20, 'min_child_weight': 10, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.6568997774506542,0.6872880943805576,0.6914056269371494,0.6885338854862922,0.6989155788187884,0.6846085926146884,0.014430908644023716,51
63,1.0709978103637696,0.051555471975859815,0.19145493507385253,0.013975940240619347,0.6,20,10,12,0.1,0.8,"{'subsample': 0.6, 'n_estimators': 20, 'min_child_weight': 10, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6564170868125101,0.689889433101347,0.6901857265986654,0.6882007214900139,0.697195709874253,0.6843777355753577,0.014316599701150751,52
30,0.7024017810821533,0.02054970174389938,0.13869328498840333,0.007998112074501235,0.6,20,10,6,0.1,0.6,"{'subsample': 0.6, 'n_estimators': 20, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",0.6561217508737303,0.6838220267344608,0.6890163191451714,0.6912798342399524,0.698060641692305,0.6836601145371239,0.014508700336811809,53
